step,type,loss,cumulative_time_ms,step_avg_ms
377,train,,264731,702.20
378,train,,265459,702.27
379,train,,266208,702.40
380,train,,266836,702.20
381,train,,267503,702.11
382,train,,268132,701.92
383,train,,268783,701.78
384,train,,269418,701.61
385,train,,270098,701.55
386,train,,270819,701.60
387,train,,271510,701.58
388,train,,272233,701.63
389,train,,272964,701.71
390,train,,273644,701.65
391,train,,274485,702.01
392,train,,275110,701.81
393,train,,275767,701.70
394,train,,276527,701.85
395,train,,277167,701.69
396,train,,277876,701.71
397,train,,278609,701.79
398,train,,279312,701.79
399,train,,280061,701.91
400,train,,280739,701.85
400,val,4.4965,280740,701.85
401,train,,281454,701.88
402,train,,282136,701.83
403,train,,282833,701.82
404,train,,283519,701.78
405,train,,284273,701.91
406,train,,284922,701.78
407,train,,285580,701.67
408,train,,286244,701.58
409,train,,286869,701.39
410,train,,287530,701.29
411,train,,288208,701.24
412,train,,288988,701.43
413,train,,289746,701.56
414,train,,290359,701.35
415,train,,291217,701.73
416,train,,291972,701.86
417,train,,292602,701.68
418,train,,293224,701.49
419,train,,293851,701.31
420,train,,294618,701.47
421,train,,295262,701.34
422,train,,295885,701.15
423,train,,296541,701.04
424,train,,297332,701.25
425,train,,297964,701.09
426,train,,298606,700.95
427,train,,299345,701.04
428,train,,299995,700.92
429,train,,300657,700.83
430,train,,301327,700.76
431,train,,301960,700.60
432,train,,302738,700.78
433,train,,303439,700.78
434,train,,304097,700.68
435,train,,304742,700.56
436,train,,305482,700.65
437,train,,306149,700.57
438,train,,306810,700.48
439,train,,307456,700.36
440,train,,308174,700.40
441,train,,308832,700.30
442,train,,309473,700.17
443,train,,310197,700.22
444,train,,310825,700.06
445,train,,311490,699.98
446,train,,312228,700.06
447,train,,312866,699.92
448,train,,313661,700.14
449,train,,314355,700.12
450,train,,315064,700.14
451,train,,315816,700.26
452,train,,316570,700.38
453,train,,317222,700.27
454,train,,317938,700.30
455,train,,318906,700.89
456,train,,319849,701.42
457,train,,320483,701.28
458,train,,321201,701.31
459,train,,321840,701.18
460,train,,322606,701.32
461,train,,323321,701.35
462,train,,323943,701.18
463,train,,324714,701.33
464,train,,325398,701.29
465,train,,326038,701.16
466,train,,326788,701.26
467,train,,327512,701.31
468,train,,328272,701.44
469,train,,328923,701.33
470,train,,329611,701.30
471,train,,330265,701.20
472,train,,330959,701.18
473,train,,331928,701.75
474,train,,332562,701.61
475,train,,333272,701.63
476,train,,333963,701.60
477,train,,334626,701.52
478,train,,335329,701.53
479,train,,336086,701.64
480,train,,336772,701.61
481,train,,337609,701.89
482,train,,338235,701.73
483,train,,339044,701.95
484,train,,339716,701.89
485,train,,340368,701.79
486,train,,341131,701.92
487,train,,341875,702.00
488,train,,342607,702.06
489,train,,343271,701.99
490,train,,343942,701.92
491,train,,344666,701.97
492,train,,345335,701.90
493,train,,346068,701.96
494,train,,346735,701.89
495,train,,347416,701.85
496,train,,348075,701.76
497,train,,348732,701.67
498,train,,349407,701.62
499,train,,350097,701.60
500,train,,350787,701.57
500,val,4.3301,350787,701.57
501,train,,351509,701.61
502,train,,352182,701.56
503,train,,352849,701.49
504,train,,353557,701.50
505,train,,354264,701.51
506,train,,355006,701.59
507,train,,355757,701.69
508,train,,356487,701.75
509,train,,357127,701.62
510,train,,357872,701.71
511,train,,358549,701.66
512,train,,359209,701.58
513,train,,359874,701.51
514,train,,360598,701.55
515,train,,361307,701.57
516,train,,361960,701.47
517,train,,362582,701.32
518,train,,363229,701.21
519,train,,363989,701.33
520,train,,364665,701.28
521,train,,365309,701.17
522,train,,365948,701.05
523,train,,366602,700.96
524,train,,367340,701.03
525,train,,368158,701.25
526,train,,368790,701.12
527,train,,369427,701.00
528,train,,370163,701.07
529,train,,371043,701.41
530,train,,371822,701.55
531,train,,372467,701.45
532,train,,373089,701.30
533,train,,373746,701.21
534,train,,374376,701.08
535,train,,375065,701.06
536,train,,375710,700.95
537,train,,376438,701.00
538,train,,377233,701.18
539,train,,377943,701.19
540,train,,378616,701.14
541,train,,379318,701.14
542,train,,379949,701.01
543,train,,380620,700.96
544,train,,381393,701.09
545,train,,381994,700.91
546,train,,382607,700.75
547,train,,383227,700.60
548,train,,383932,700.61
549,train,,384576,700.50
550,train,,385212,700.39
551,train,,385921,700.40
552,train,,386595,700.35
553,train,,387252,700.27
554,train,,387926,700.23
555,train,,388599,700.18
556,train,,389403,700.37
557,train,,390125,700.40
558,train,,390846,700.44
559,train,,391599,700.54
560,train,,392470,700.84
561,train,,393099,700.71
562,train,,393711,700.55
563,train,,394413,700.56
564,train,,395044,700.43
565,train,,395787,700.51
566,train,,396438,700.42
567,train,,397165,700.47
568,train,,397791,700.34
569,train,,398422,700.21
570,train,,399071,700.13
571,train,,399845,700.25
572,train,,400795,700.69
573,train,,401622,700.91
574,train,,402254,700.79
575,train,,402901,700.70
576,train,,403557,700.62
577,train,,404212,700.54
578,train,,404842,700.42
579,train,,405518,700.38
580,train,,406194,700.33
581,train,,406843,700.25
582,train,,407553,700.26
583,train,,408230,700.22
584,train,,408876,700.13
585,train,,409576,700.13
586,train,,410238,700.06
587,train,,410918,700.03
588,train,,411554,699.92
589,train,,412172,699.78
590,train,,412895,699.82
591,train,,413554,699.75
592,train,,414308,699.84
593,train,,415039,699.90
594,train,,415740,699.90
595,train,,416372,699.78
596,train,,417117,699.86
597,train,,417808,699.85
598,train,,418437,699.73
599,train,,419163,699.77
600,train,,419792,699.65
600,val,4.2570,419792,699.65
601,train,,420423,699.54
602,train,,421060,699.43
603,train,,421722,699.37
604,train,,422405,699.35
605,train,,423041,699.24
606,train,,423776,699.30
607,train,,424406,699.19
608,train,,425143,699.25
609,train,,425785,699.15
610,train,,426448,699.09
611,train,,427127,699.06
612,train,,427782,698.99
613,train,,428551,699.10
614,train,,429290,699.17
615,train,,430056,699.28
616,train,,430714,699.21
617,train,,431337,699.09
618,train,,431998,699.03
619,train,,432634,698.92
620,train,,433313,698.89
621,train,,434017,698.90
622,train,,434695,698.87
623,train,,435370,698.83
624,train,,436050,698.80
625,train,,436743,698.79
626,train,,437395,698.71
627,train,,438070,698.68
628,train,,438776,698.69
629,train,,439492,698.72
630,train,,440146,698.64
631,train,,440885,698.71
632,train,,441633,698.79
633,train,,442296,698.73
634,train,,442925,698.62
635,train,,443549,698.50
636,train,,444317,698.61
637,train,,445102,698.75
638,train,,445952,698.98
639,train,,446714,699.08
640,train,,447461,699.16
641,train,,448159,699.16
642,train,,448789,699.05
643,train,,449449,698.99
644,train,,450086,698.89
645,train,,450743,698.83
646,train,,451417,698.79
647,train,,452082,698.74
648,train,,452719,698.64
649,train,,453504,698.77
650,train,,454194,698.76
651,train,,454839,698.68
652,train,,455509,698.63
653,train,,456219,698.65
654,train,,456853,698.55
655,train,,457562,698.57
656,train,,458345,698.70
657,train,,459026,698.67
658,train,,459711,698.65
659,train,,460556,698.87
660,train,,461281,698.91
661,train,,461993,698.93
662,train,,462648,698.86
663,train,,463395,698.94
