step,type,loss,cumulative_time_ms,step_avg_ms
327,train,,436827,1335.86
328,train,,437901,1335.06
329,train,,439240,1335.08
330,train,,440660,1335.33
331,train,,441672,1334.36
332,train,,442811,1333.77
333,train,,443939,1333.15
334,train,,445054,1332.50
335,train,,446257,1332.11
336,train,,447338,1331.36
337,train,,448416,1330.61
338,train,,449584,1330.13
339,train,,450747,1329.64
340,train,,451955,1329.28
341,train,,453214,1329.07
342,train,,454431,1328.75
343,train,,455685,1328.53
344,train,,456795,1327.89
345,train,,458173,1328.04
346,train,,459322,1327.52
347,train,,460544,1327.22
348,train,,461857,1327.18
349,train,,462960,1326.53
350,train,,465065,1328.76
351,train,,466376,1328.71
352,train,,467656,1328.57
353,train,,469121,1328.96
354,train,,470588,1329.35
355,train,,471826,1329.09
356,train,,473180,1329.16
357,train,,474286,1328.53
358,train,,475386,1327.89
359,train,,476869,1328.33
360,train,,481146,1336.52
361,train,,482290,1335.98
362,train,,483481,1335.58
363,train,,484593,1334.97
364,train,,485899,1334.89
365,train,,487523,1335.68
366,train,,489863,1338.42
367,train,,494199,1346.59
368,train,,495243,1345.77
369,train,,496412,1345.29
370,train,,497504,1344.61
371,train,,498975,1344.94
372,train,,499990,1344.06
373,train,,501004,1343.18
374,train,,503071,1345.11
375,train,,504156,1344.42
376,train,,505570,1344.60
377,train,,506564,1343.67
378,train,,507640,1342.96
379,train,,508869,1342.66
380,train,,509912,1341.87
381,train,,511122,1341.53
382,train,,512422,1341.42
383,train,,513547,1340.86
384,train,,514658,1340.26
385,train,,515817,1339.78
386,train,,516869,1339.04
387,train,,518039,1338.60
388,train,,519137,1337.98
389,train,,520412,1337.82
390,train,,521629,1337.51
391,train,,523301,1338.37
392,train,,524373,1337.69
393,train,,525687,1337.62
394,train,,526888,1337.28
395,train,,528030,1336.78
396,train,,529422,1336.92
397,train,,530534,1336.36
398,train,,531632,1335.76
399,train,,532853,1335.47
400,train,,534053,1335.13
400,val,3.9814,534053,1335.13
401,train,,536487,1337.87
402,train,,537581,1337.27
403,train,,539682,1339.16
404,train,,540868,1338.78
405,train,,542104,1338.53
406,train,,543109,1337.71
407,train,,544274,1337.28
408,train,,545388,1336.73
409,train,,546514,1336.22
410,train,,547862,1336.25
411,train,,549128,1336.08
412,train,,550702,1336.66
413,train,,551836,1336.16
414,train,,553092,1335.97
415,train,,554279,1335.61
416,train,,555412,1335.13
417,train,,556559,1334.67
418,train,,557848,1334.56
419,train,,559439,1335.18
420,train,,560688,1334.97
421,train,,561813,1334.47
422,train,,564280,1337.16
423,train,,565807,1337.61
424,train,,567035,1337.35
425,train,,569275,1339.47
426,train,,570417,1339.01
427,train,,571542,1338.51
428,train,,572598,1337.85
429,train,,573902,1337.77
430,train,,574991,1337.19
431,train,,577842,1340.70
432,train,,578941,1340.14
433,train,,580141,1339.82
434,train,,581347,1339.51
435,train,,582471,1339.01
436,train,,584340,1340.23
437,train,,585666,1340.20
438,train,,586813,1339.76
439,train,,590280,1344.60
440,train,,591808,1345.02
441,train,,592911,1344.47
442,train,,594646,1345.35
443,train,,598716,1351.50
444,train,,600100,1351.58
445,train,,601188,1350.98
446,train,,602265,1350.37
447,train,,603748,1350.67
448,train,,604784,1349.97
449,train,,606255,1350.23
450,train,,607267,1349.48
451,train,,608460,1349.14
452,train,,609501,1348.45
453,train,,610827,1348.40
454,train,,611875,1347.74
455,train,,612860,1346.94
456,train,,613936,1346.35
457,train,,614996,1345.73
458,train,,616091,1345.18
459,train,,617143,1344.54
460,train,,618424,1344.40
461,train,,619533,1343.89
462,train,,620677,1343.46
463,train,,622223,1343.89
464,train,,623620,1344.01
465,train,,625012,1344.11
466,train,,626239,1343.86
467,train,,627486,1343.65
468,train,,628860,1343.72
469,train,,630314,1343.95
470,train,,631440,1343.49
471,train,,632573,1343.04
472,train,,634188,1343.62
473,train,,635356,1343.25
474,train,,637298,1344.51
475,train,,638366,1343.93
476,train,,639554,1343.60
477,train,,640645,1343.07
478,train,,641842,1342.76
479,train,,643102,1342.59
480,train,,644185,1342.05
481,train,,645292,1341.56
482,train,,646958,1342.24
483,train,,648066,1341.75
484,train,,649558,1342.06
485,train,,650656,1341.56
486,train,,651869,1341.29
487,train,,654043,1343.00
488,train,,655086,1342.39
489,train,,656491,1342.52
490,train,,657561,1341.96
491,train,,658591,1341.33
492,train,,659675,1340.80
493,train,,660758,1340.28
494,train,,662353,1340.80
495,train,,663452,1340.31
496,train,,664793,1340.31
497,train,,666159,1340.36
498,train,,668063,1341.49
499,train,,669365,1341.41
500,train,,670546,1341.09
500,val,3.8700,670546,1341.09
501,train,,671580,1340.48
502,train,,673136,1340.91
503,train,,674231,1340.42
504,train,,675632,1340.54
505,train,,676770,1340.14
506,train,,677956,1339.83
507,train,,679525,1340.29
508,train,,680993,1340.54
509,train,,682153,1340.18
510,train,,683329,1339.86
511,train,,684934,1340.38
512,train,,686261,1340.35
513,train,,687408,1339.98
514,train,,688618,1339.72
515,train,,689784,1339.39
516,train,,691181,1339.50
517,train,,692563,1339.58
518,train,,693968,1339.71
519,train,,696279,1341.58
520,train,,697471,1341.29
521,train,,699239,1342.11
522,train,,700297,1341.56
523,train,,702091,1342.43
524,train,,703432,1342.43
525,train,,704771,1342.42
526,train,,705811,1341.85
527,train,,707143,1341.83
528,train,,708252,1341.39
529,train,,709895,1341.96
530,train,,710979,1341.47
531,train,,712316,1341.46
532,train,,713333,1340.85
533,train,,714588,1340.69
534,train,,715697,1340.26
535,train,,716788,1339.79
536,train,,717829,1339.23
537,train,,718872,1338.68
538,train,,719919,1338.14
539,train,,720971,1337.61
540,train,,722201,1337.41
541,train,,723483,1337.31
542,train,,724909,1337.47
543,train,,726029,1337.07
544,train,,726990,1336.38
545,train,,728173,1336.10
546,train,,729786,1336.61
547,train,,730980,1336.34
548,train,,732050,1335.86
549,train,,733066,1335.27
550,train,,734366,1335.21
551,train,,735528,1334.90
552,train,,736644,1334.50
553,train,,737668,1333.94
554,train,,739069,1334.06
555,train,,740283,1333.84
556,train,,742492,1335.42
557,train,,743543,1334.91
558,train,,744684,1334.56
559,train,,745890,1334.33
560,train,,746996,1333.92
561,train,,748155,1333.61
562,train,,749330,1333.33
563,train,,750811,1333.59
564,train,,754331,1337.47
565,train,,755490,1337.15
566,train,,756566,1336.69
567,train,,757947,1336.77
568,train,,759273,1336.75
569,train,,761218,1337.82
570,train,,762292,1337.35
571,train,,763482,1337.10
572,train,,764782,1337.03
573,train,,765941,1336.72
574,train,,767382,1336.90
575,train,,768770,1336.99
576,train,,770575,1337.80
577,train,,771619,1337.29
578,train,,772830,1337.08
579,train,,774066,1336.90
580,train,,775272,1336.68
581,train,,776621,1336.70
582,train,,777735,1336.31
583,train,,778870,1335.97
584,train,,780011,1335.64
585,train,,781241,1335.45
586,train,,782586,1335.47
587,train,,783784,1335.24
588,train,,784873,1334.82
589,train,,786056,1334.56
590,train,,787150,1334.15
591,train,,788222,1333.71
592,train,,792484,1338.66
593,train,,793614,1338.30
594,train,,794808,1338.06
595,train,,795990,1337.80
596,train,,799290,1341.09
597,train,,800796,1341.37
598,train,,801800,1340.80
599,train,,802872,1340.35
600,train,,803887,1339.81
600,val,3.8038,803888,1339.81
601,train,,805515,1340.29
602,train,,806656,1339.96
603,train,,807820,1339.67
604,train,,808816,1339.10
605,train,,810544,1339.74
606,train,,811973,1339.89
607,train,,813091,1339.52
608,train,,814213,1339.17
609,train,,815212,1338.61
610,train,,816321,1338.23
611,train,,817367,1337.75
612,train,,818702,1337.75
613,train,,819912,1337.54
614,train,,820990,1337.12
615,train,,822106,1336.76
616,train,,823394,1336.68
617,train,,824749,1336.71
618,train,,825877,1336.37
619,train,,826984,1336.00
620,train,,828024,1335.52
621,train,,829355,1335.51
622,train,,830559,1335.30
623,train,,831546,1334.75
624,train,,832658,1334.39
625,train,,833777,1334.04
626,train,,835453,1334.59
627,train,,836550,1334.21
628,train,,838787,1335.65
629,train,,841000,1337.04
630,train,,841979,1336.47
631,train,,842949,1335.89
632,train,,844303,1335.92
633,train,,845448,1335.62
634,train,,846574,1335.29
635,train,,847763,1335.06
636,train,,848874,1334.71
637,train,,850124,1334.57
638,train,,851836,1335.17
639,train,,853137,1335.11
640,train,,854129,1334.58
641,train,,855533,1334.69
642,train,,856995,1334.88
643,train,,858142,1334.59
644,train,,859367,1334.42
645,train,,861952,1336.36
646,train,,863348,1336.45
647,train,,864609,1336.34
648,train,,867333,1338.48
649,train,,868474,1338.17
650,train,,869590,1337.83
651,train,,870738,1337.54
652,train,,872464,1338.13
653,train,,873721,1338.01
654,train,,874772,1337.57
655,train,,875831,1337.15
656,train,,877000,1336.89
657,train,,878873,1337.71
658,train,,879967,1337.34
659,train,,881021,1336.91
660,train,,882191,1336.65
661,train,,883325,1336.35
662,train,,884487,1336.08
663,train,,885608,1335.76
664,train,,886675,1335.35
665,train,,887884,1335.16
666,train,,889002,1334.84
667,train,,891054,1335.91
668,train,,892153,1335.56
669,train,,893208,1335.14
670,train,,897218,1339.13
671,train,,898376,1338.86
672,train,,899538,1338.60
673,train,,900763,1338.43
674,train,,901969,1338.23
675,train,,902988,1337.76
676,train,,904098,1337.42
677,train,,905973,1338.22
678,train,,907346,1338.27
679,train,,908548,1338.07
680,train,,909743,1337.86
681,train,,910945,1337.66
682,train,,912380,1337.80
683,train,,913490,1337.47
684,train,,915323,1338.19
685,train,,916359,1337.75
686,train,,917433,1337.37
687,train,,919167,1337.94
688,train,,920432,1337.84
689,train,,921564,1337.54
690,train,,922730,1337.29
691,train,,923988,1337.17
692,train,,925650,1337.64
693,train,,926711,1337.25
694,train,,928832,1338.37
695,train,,930085,1338.25
696,train,,931277,1338.04
697,train,,932348,1337.66
698,train,,933505,1337.40
699,train,,934569,1337.01
700,train,,935542,1336.49
700,val,3.7268,935542,1336.49
701,train,,936567,1336.04
702,train,,937747,1335.82
703,train,,938993,1335.69
704,train,,940631,1336.12
705,train,,941807,1335.90
706,train,,942921,1335.58
707,train,,944244,1335.56
708,train,,945414,1335.33
709,train,,946437,1334.89
710,train,,947577,1334.62
711,train,,948582,1334.15
712,train,,950459,1334.91
713,train,,952131,1335.39
714,train,,954449,1336.76
715,train,,955471,1336.32
716,train,,956737,1336.23
717,train,,957884,1335.96
718,train,,958968,1335.61
719,train,,961259,1336.94
720,train,,962739,1337.14
721,train,,964072,1337.13
722,train,,965205,1336.85
723,train,,967143,1337.68
724,train,,968290,1337.42
725,train,,969533,1337.29
726,train,,970729,1337.09
727,train,,971854,1336.80
728,train,,972952,1336.47
729,train,,973951,1336.01
730,train,,975471,1336.26
731,train,,976636,1336.03
732,train,,977658,1335.60
733,train,,978947,1335.53
734,train,,979995,1335.14
735,train,,981141,1334.89
736,train,,982276,1334.61
737,train,,983408,1334.34
738,train,,984594,1334.14
739,train,,986007,1334.24
740,train,,987235,1334.10
741,train,,988600,1334.14
742,train,,989872,1334.06
743,train,,991100,1333.92
744,train,,992434,1333.92
745,train,,993495,1333.55
746,train,,994635,1333.29
747,train,,996370,1333.83
748,train,,1000661,1337.78
749,train,,1001985,1337.76
750,train,,1003226,1337.63
751,train,,1004432,1337.46
752,train,,1005653,1337.30
753,train,,1006726,1336.95
754,train,,1008592,1337.65
755,train,,1010421,1338.31
756,train,,1011606,1338.10
757,train,,1012647,1337.71
758,train,,1013662,1337.28
759,train,,1015170,1337.51
760,train,,1017205,1338.43
761,train,,1018228,1338.01
762,train,,1019282,1337.64
763,train,,1020255,1337.16
764,train,,1021747,1337.37
765,train,,1022862,1337.07
766,train,,1024412,1337.35
767,train,,1025861,1337.50
768,train,,1027419,1337.78
769,train,,1028744,1337.77
770,train,,1030051,1337.73
771,train,,1031332,1337.65
772,train,,1032399,1337.30
773,train,,1033807,1337.40
774,train,,1034833,1336.99
775,train,,1036066,1336.86
776,train,,1037117,1336.49
777,train,,1038296,1336.29
778,train,,1039869,1336.59
779,train,,1041123,1336.49
780,train,,1042385,1336.39
781,train,,1043429,1336.02
782,train,,1044477,1335.65
783,train,,1046469,1336.49
784,train,,1048302,1337.12
785,train,,1049319,1336.71
786,train,,1050498,1336.51
787,train,,1051696,1336.34
788,train,,1052925,1336.20
789,train,,1054012,1335.88
790,train,,1055467,1336.03
791,train,,1056608,1335.79
792,train,,1057848,1335.67
793,train,,1059342,1335.87
794,train,,1060723,1335.92
795,train,,1062093,1335.97
796,train,,1065076,1338.03
797,train,,1066304,1337.90
798,train,,1069009,1339.61
799,train,,1070134,1339.34
800,train,,1071318,1339.15
800,val,3.6890,1071318,1339.15
801,train,,1072517,1338.97
802,train,,1073680,1338.75
803,train,,1074757,1338.43
804,train,,1076186,1338.54
805,train,,1077445,1338.44
806,train,,1078620,1338.24
807,train,,1079808,1338.05
808,train,,1080845,1337.68
809,train,,1081910,1337.34
810,train,,1082997,1337.03
811,train,,1084241,1336.92
812,train,,1085506,1336.83
813,train,,1086506,1336.42
814,train,,1087705,1336.25
815,train,,1088949,1336.13
816,train,,1090160,1335.98
817,train,,1091183,1335.60
818,train,,1092479,1335.55
819,train,,1093715,1335.43
820,train,,1094937,1335.29
821,train,,1096110,1335.09
822,train,,1097373,1335.00
823,train,,1098629,1334.91
824,train,,1099762,1334.66
825,train,,1100843,1334.36
826,train,,1102793,1335.10
827,train,,1103915,1334.84
828,train,,1106047,1335.81
829,train,,1107207,1335.59
830,train,,1108568,1335.62
831,train,,1109916,1335.64
832,train,,1110961,1335.29
833,train,,1113672,1336.94
834,train,,1114915,1336.83
835,train,,1116119,1336.67
836,train,,1117232,1336.40
837,train,,1121499,1339.90
838,train,,1123460,1340.64
839,train,,1127723,1344.13
840,train,,1128993,1344.04
841,train,,1130133,1343.80
842,train,,1132451,1344.95
843,train,,1133616,1344.74
844,train,,1134638,1344.36
845,train,,1136032,1344.42
846,train,,1138094,1345.26
847,train,,1139506,1345.34
848,train,,1141121,1345.66
849,train,,1143997,1347.46
850,train,,1145090,1347.16
851,train,,1146208,1346.90
852,train,,1147401,1346.71
853,train,,1149159,1347.20
854,train,,1150337,1347.00
855,train,,1151343,1346.60
856,train,,1152405,1346.27
857,train,,1153452,1345.92
858,train,,1154530,1345.61
859,train,,1155791,1345.51
860,train,,1156903,1345.24
861,train,,1158433,1345.45
862,train,,1159986,1345.69
863,train,,1161148,1345.48
864,train,,1162329,1345.29
865,train,,1163310,1344.87
866,train,,1164431,1344.61
867,train,,1165493,1344.28
868,train,,1166728,1344.16
869,train,,1167999,1344.07
870,train,,1169015,1343.69
871,train,,1170098,1343.40
872,train,,1171261,1343.19
873,train,,1172434,1342.99
874,train,,1174218,1343.50
875,train,,1175516,1343.45
876,train,,1177093,1343.71
877,train,,1178166,1343.40
878,train,,1179257,1343.12
879,train,,1181216,1343.82
880,train,,1182919,1344.23
881,train,,1184039,1343.97
882,train,,1185338,1343.92
883,train,,1188315,1345.77
884,train,,1189369,1345.44
885,train,,1190469,1345.16
886,train,,1191689,1345.02
887,train,,1193604,1345.66
888,train,,1194695,1345.38
889,train,,1195828,1345.14
890,train,,1196977,1344.92
891,train,,1198116,1344.69
892,train,,1199385,1344.60
893,train,,1200457,1344.30
894,train,,1201539,1344.00
895,train,,1202518,1343.60
896,train,,1203652,1343.36
897,train,,1204838,1343.19
898,train,,1206834,1343.91
899,train,,1208139,1343.87
900,train,,1209188,1343.54
900,val,3.6374,1209188,1343.54
901,train,,1210292,1343.28
902,train,,1211396,1343.01
903,train,,1212364,1342.60
904,train,,1215115,1344.15
905,train,,1216480,1344.18
906,train,,1218049,1344.42
907,train,,1219690,1344.75
908,train,,1221221,1344.96
909,train,,1222559,1344.95
910,train,,1223586,1344.60
911,train,,1224713,1344.36
912,train,,1225988,1344.28
913,train,,1227465,1344.43
914,train,,1228562,1344.16
915,train,,1230220,1344.50
916,train,,1231419,1344.34
917,train,,1232439,1343.99
918,train,,1233495,1343.68
